English_name,sumWeeklyHealthHours,SumPopulation,SumPopulation_CompletedFromExternalData,NumberOfCities_smaller35km,Jewish_precent,Arab_precent,Jewish_Arabs_precent_CompletedFromExternalData,precentPopulation_over20,ClalitPrecent_fromTatal,ClalitPrecent_fromTatal_CompletedFromExternalData,MacabiPrecent_fromTatal,MacabiPrecent_fromTatal_CompletedFromExternalData,MeuhedetPrecent_fromTatal,MeuhedetPrecent_fromTatal_CompletedFromExternalData,LeumitPrecent_fromTatal,LeumitPrecent_fromTatal_CompletedFromExternalData,SocioeconomicStatusֹ,SocioeconomicStatusֹ_CompletedFromExternalData,periphery,Jerusalem_district,North_district,Center_district,Haifa_district,TLV_district,South_district,Clinic_hours_for_1000_people,Clinic_hours_for_1000_people_bigger9
TAIBA BAEMEQ,25.75,46805,1,27,0,100,0,60.5,70.9,1,11.9,1,12.4,1,4.9,1,3,1,0,0,1,0,0,0,0,0.550154898,1
TIRE,695.25,27392,0,107,0,99.7,0,67.5,74.1,0,17.3,0,0.7,0,7.9,0,5,0,1,0,0,1,0,0,0,25.38149825,0
TIRAT KARMEL,427.6658,26806,0,65,93.1,0,0,75.2,65.5,0,22.1,0,3,0,9.4,0,5,0,1,0,0,0,1,0,0,15.95410729,0
TAMRA,18,34392,1,38,0,99.9,0,64.8,88.6,0,1.2,0,1.7,0,8.5,0,3,0,0,0,1,0,0,0,0,0.52337753,1
YANUH-JAT,62.5,6851,0,58,0,100,0,66.6,82.6,0,11.5,0,5.2,0,0.7,0,5,0,1,0,1,0,0,0,0,9.122755802,0
YAVNE'EL,65,4448,0,60,98.6,0,0,56.5,51.4,0,4.5,0,1.7,0,42.3,0,2,0,1,0,1,0,0,0,0,14.61330935,0
YAVNE,798.75,53595,0,62,96.8,0,0,66.8,48.4,0,40.2,0,7.1,0,4.4,0,7,0,0,0,0,1,0,0,0,14.90344249,0
YEHUD,509.4166,30619,0,117,97.9,0,0,76.2,48.4,0,36.4,0,11.1,0,4,0,7,0,0,0,0,1,0,0,0,16.63727098,0
YOHAV,47.5,9197,0,59,97.7,0,0,65.1,73.4,0,20.1,0,3.7,0,2.7,0,8,0,0,0,0,0,0,0,1,5.164727629,1
YESUD HAMA'ALA,22,1804,0,17,98.1,0,0,75.1,70.6,1,23.2,1,2,1,4.2,1,7,0,1,0,1,0,0,0,0,12.19512195,0
